Entity,Code,Day,Total tests,142605-annotations,Total confirmed cases of COVID-19,Total confirmed deaths due to COVID-19 
Norway,NOR,31-05-2021,1050786,people tested,23078.844,144.432
Oceania,,31-05-2021,,,1152.238,25.845
Oman,OMN,31-05-2021,,,42537.709,459.208
Pakistan,PAK,31-05-2021,59855,tests performed,4177.71,94.39
Palau,PLW,31-05-2021,,,55.273,
Palestine,PSE,31-05-2021,,,60444.002,685.496
Panama,PAN,31-05-2021,614670,tests performed,87628.582,1476.557
Papua New Guinea,PNG,31-05-2021,,,1778.244,18.107
Paraguay,PRY,31-05-2021,181304,tests performed,49825.798,1287.902
Peru,PER,31-05-2021,,,59307.234,5573.937
Philippines,PHL,31-05-2021,115419,people tested,11227.312,191.329
Poland,POL,31-05-2021,412084,people tested,75892.752,1948.524
"Poland, samples tested",,31-05-2021,421702,,,
Portugal,PRT,31-05-2021,1159715,tests performed,83271.295,1669.657
Qatar,QAT,31-05-2021,702730,people tested,75478.47,192.985
Romania,ROU,31-05-2021,410463,tests performed,56022.186,1575.658
Russia,RUS,31-05-2021,949383,tests performed,34354.545,818.614
Rwanda,RWA,31-05-2021,,,2081.73,27.254
Saint Kitts and Nevis,KNA,31-05-2021,,,1278.388,
Saint Lucia,LCA,31-05-2021,,,27593.681,430.215
Saint Vincent and the Grenadines,VCT,31-05-2021,,,18342.091,108.16
Samoa,WSM,31-05-2021,,,15.12,
San Marino,SMR,31-05-2021,,,149979.374,2651.895
Sao Tome and Principe,STP,31-05-2021,,,10699.896,173.389
Saudi Arabia,SAU,31-05-2021,554578,tests performed,12938.408,211.467
Senegal,SEN,31-05-2021,31711,tests performed,2473.493,68.025
Serbia,SRB,31-05-2021,610290,people tested,104704.526,1008.877
Seychelles,SYC,31-05-2021,,,118171.649,427.09
Sierra Leone,SLE,31-05-2021,,,519.871,9.903
Singapore,SGP,31-05-2021,2042238,samples tested,10606.387,5.641
Slovakia,SVK,31-05-2021,7037030,tests performed,71382.14,2260.771
Slovenia,SVN,31-05-2021,616844,tests performed,122044.396,2104.446
Solomon Islands,SLB,31-05-2021,,,29.117,
Somalia,SOM,31-05-2021,,,922.532,48.385
South Africa,ZAF,31-05-2021,196114,people tested,28083.861,952.744
South America,,31-05-2021,,,66828.16,2076.879
