OBJECTID,LE_ID,ENGLISH,COUNTY,GUID,P14_100k,EventDate
2589,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,93.6,2020/10/12 00:00:00+00
2590,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/10/05 00:00:00+00
2591,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/09/28 00:00:00+00
2592,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/09/21 00:00:00+00
2593,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/09/14 00:00:00+00
2594,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/09/07 00:00:00+00
2595,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/08/31 00:00:00+00
2596,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/08/24 00:00:00+00
2597,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/08/17 00:00:00+00
2598,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,0,2020/08/10 00:00:00+00
2599,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,93.8,2020/11/23 00:00:00+00
2600,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,142.3,2020/11/16 00:00:00+00
2601,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,165,2020/11/09 00:00:00+00
2602,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,307.3,2020/11/02 00:00:00+00
2603,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,420.6,2020/10/26 00:00:00+00
2604,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,459.4,2020/10/19 00:00:00+00
2605,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,423.8,2020/10/12 00:00:00+00
2606,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,226.5,2020/10/05 00:00:00+00
2607,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,113.2,2020/09/28 00:00:00+00
2608,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,90.6,2020/09/21 00:00:00+00
2609,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,58.2,2020/09/14 00:00:00+00
2610,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,38.8,2020/09/07 00:00:00+00
2611,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,25.9,2020/08/31 00:00:00+00
2612,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,25.9,2020/08/24 00:00:00+00
2613,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,22.6,2020/08/17 00:00:00+00
2614,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,35.6,2020/08/10 00:00:00+00
2615,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,153.4,2020/11/23 00:00:00+00
2616,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,170,2020/11/16 00:00:00+00
2617,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,186.7,2020/11/09 00:00:00+00
2618,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,170,2020/11/02 00:00:00+00
2619,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,153.4,2020/10/26 00:00:00+00
2620,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,146.7,2020/10/19 00:00:00+00
2621,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,80,2020/10/12 00:00:00+00
2622,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/10/05 00:00:00+00
2623,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,26.7,2020/09/28 00:00:00+00
2624,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,30,2020/09/21 00:00:00+00
